"insCode","instrumentID","cValMne","lVal18","cSocCSAC","lVal18AFC","lVal30","cIsin","dEven","flow","lSoc30","CGdSVal","cgrValCot","yMarNSC","cComVal","cSecVal","cSoSecVal","yVal"
"655060129740445","IRO1OPAL0001","OPAL1","Opal Kani Pars","OPAL","اپال","فرآوری معدنی اپال کانی پارس","IRO1OPAL0000","20230917","1","فرآوری معدنی اپال کانی پارس","A","N2","NO","5","13","1310","300"
"685553375979058","IRB3SA0100B1","SA1Q1","ArvandOM.MNF220202","SA01","اروند01","منفعت صبا اروند امید14001113","IRB3SA0100B5","20221212","2","منفعت صبا اروند امید14001113","A","17","NO","4","69","6947","306"
"726401865204843","IRR1KAVR0101","KAVX1","Iran Khodro D.-R","KAVR","خاورح","ح . ایران  خودرودیزل","IRR1KAVR0102","20171213","1","ایران  خودرودیزل","A","N2","NO","5","34","3410","400"
"751415341879364","IRO1BAKH0001","BAKH1","Bakhtar Cable","BAKH","باختر","کابل  باختر","IRO1BAKH0006","20110816","1","کابل  باختر","A","N2","NO","5","31","3130","300"
"778253364357513","IRO1BMLT0001","BMLT1","S*Mellat Bank","BMLT","وبملت","بانک ملت","IRO1BMLT0007","20230917","1","بانک ملت","A","N1","NO","1","57","5719","300"
"786234965064488","IRO1NILO0001","NILO1","Nilou Tile","NILO","کنیلو","کاشی  نیلو","IRO1NILO0004","20160119","1","کاشی  نیلو","A","N2","NO","5","49","4993","300"
"793710053482057","IRO7PYAP0001","PYAP1","Payam Ind.","PYAP","لپیام","گسترش صنایع پیام","IRO7PYAP0008","20230917","4","گسترش صنایع پیام","A","P1","NO","7","32","3230","309"
"796556604064374","IRO3GSMZ0001","GSMZ1","Gheshm Marine","GSMZ","حقشم","دریایی و مهندسی کشتیرانی قشم","IRO3GSMZ0005","20230917","2","دریایی و مهندسی کشتیرانی قشم","A","Z1","NO","3","61","6120","303"
"823046680072171","IRR1PKRS0101","PKRX1","Pakris Textural-R","PKRS","نپاکح","ح . ریسندگی  وبافندگی  پاکریس","IRR1PKRS0100","20081126","1","ریسندگی  وبافندگی  پاکریس","A","N4","NO","4","17","1711","400"
"831325835570803","IRO7CNAP0001","CNAP1","Namavaran Co.","CNAP","ثنام","س ساختمانی ب نام آوران مهندسی","IRO7CNAP0006","20230917","4","س ساختمانی ب نام آوران مهندسی","A","P1","NO","7","70","7010","309"
"881618880255065","IRB3SS2499C1","S24Q1","SSI-IJR2-NVN210316","SS24","شستا994","اجاره تامین اجتماعی-نوین991226","IRB3SS2499C9","20221212","2","اجاره شستا-بخش2-نوین13991226","A","17","NO","4","69","6910","306"
"912271202750887","IRO1FPRS0001","FPRS1","Pars Carpet","FPRS","نفرش","فرش  پارس","IRO1FPRS0005","20081126","1","فرش  پارس","A","N4","NO","4","17","1722","300"
"917857106093847","IRO3HPRZ0001","HPRZ1","Parsian Oil&Gas","HPRZ","حپارسا","توسعه حمل و نقل ریلی پارسیان","IRO3HPRZ0002","20230917","2","توسعه حمل و نقل ریلی پارسیان","A","1Z","NO","1","60","6010","303"
"971068957336171","IRT3GTYF0001","GTYF1","GarantyGity ETF-QR","GTYF","گارانتی","صندوق تضمین ا.س. گیتی دماوند-م","IRT3GTYF0003","20230611","2","صندوق تضمین اصل سرمایه دماوند","A","T1","NO","4","68","6810","305"
"1010647938388655","IRO7BHPP0001","BHPP1","Behpak Co.","BHPP","بهپاک","صنعتی بهپاک","IRO7BHPP0008","20160417","2","صنعتی بهپاک","A","C1","NO","7","42","4214","309"
"1050751214677134","IRO5PSGS0001","PSGS1","PetroSanat Gameron","PSGS","شگامرن","مجتمع پترو صنعت گامرون","IRO5PSGS0009","20230822","2","مجتمع پترو صنعت گامرون","A","V1","NO","9","44","4411","313"
"1123534346391630","IRX6X28T0006","X28T6","Index Group 28","IDXS","28-محصولات فلزی6","28-محصولات فلزی","IRX6X28T0006","20171212","1","شرکت شاخص","I","00","ID","6","X1","X1  ","68"
"1200391996585610","IRO6MELZ97A1","TM121","Melli Mortgage1901","MELZ","تملی710","تسهیلات مسکن ب. ملی-دی97","IRO6MELZ97A0","20230702","2","تسهیلات مسکن بانک ملی ایران","A","M1","NO","4","59","5910","307"
"1241998328504490","IRT3NEHF0001","NEHF1","Neshan ETF","NEHF","نشان","صندوق س. نشان هامرز-د","IRT3NEHF0002","20230709","2","ص.س.د. مختص اوراق دولتی نشان","A","1A","NO","4","68","6812","305"
"1245925241417929","IRO3MSZ91081","MK261","Bank Maskan","MSKZ","تسه9108","امتیازتسهیلات مسکن آبان ماه 91","IRO3MSZ91088","20180721","2","بانک مسکن","A","Z1","NO","4","59","5910","303"
"1277592884769853","IRO1OS230001","OS231","Golestan Inv.","OS23","وسگلستا","شرکت س استان گلستان","IRO1OS230007","20230917","1","شرکت س استان گلستان","A","N2","NO","5","56","5699","300"
"1301069819790264","IRO3TMMZ0001","TMMZ1","TajaliMines&Metals","TMMZ","تجلی","تجلی توسعه معادن و فلزات","IRO3TMMZ0006","20230917","2","تجلی توسعه معادن و فلزات","A","Z1","NO","3","13","1399","303"
"1305902643160516","IRO3Z0800001","Z0801","Kimiya Investment","Z080","تکیمیا","تامین سرمایه کیمیا","IRO3Z0800004","20230117","2","تامین سرمایه کیمیا","A","Z1","NO","5","67","6719","303"
"1314853494617240","IRR1KSAD0101","KSAX1","Saadi Tile-R","KSAD","کسعدیح","ح . کاشی  سعدی","IRR1KSAD0103","20230918","1","کاشی  سعدی","A","N1","NO","3","49","4993","400"
"1358190916156744","IRO1TAZB0001","TAZB1","Azarbayjan Inv.","TAZB","وآذر","سرمایه گذاری توسعه آذربایجان","IRO1TAZB0005","20230917","1","سرمایه گذاری توسعه آذربایجان","A","N2","NO","5","70","7099","300"
"1359959101711313","IRO3MSZ92071","MK371","BANK MASKAN","MSKZ","تسه9207","امتیاز تسهیلات مسکن مهرماه 92","IRO3MSZ92078","20180721","2","بانک مسکن","A","Z1","NO","4","59","5910","303"
"1438514795814416","IRT1YGHT0001","YGHT1","Yaghoot Agah ETF","YGHT","یاقوت","صندوق س یاقوت آگاه-ثابت","IRT1YGHT0003","20230227","1","صندوق س یاقوت آگاه-ثابت","A","H1","NO","4","68","6812","305"
"1518157759350339","IRR1PMET0101","PMEX1","Parsmetal-R","PMET","فمتالح","ح . پارس  متال","IRR1PMET0102","20090716","1","پارس  متال","A","N2","NO","5","27","2710","400"
"1625149423498289","IRO3SMBZ0001","SMBZ1","Sina Marine srv","SMBZ","حسینا","توسعه خدمات دریایی وبندری سینا","IRO3SMBZ0000","20230917","2","توسعه خدمات دریایی وبندری سینا","A","1Z","NO","1","60","6003","303"
"1650287360153383","IRO1AVAN0001","AVAN1","Avangan","AVAN","فاون","آونگان","IRO1AVAN0006","20081126","1","آونگان","A","N4","NO","4","28","2811","300"
"1723099959084685","IRR1TKIN0101","TKIX1","Techinco-R","TKIN","رتکوح","ح . کنترل خوردگی تکین کو","IRR1TKIN0102","20210530","1","کنترل خوردگی تکین کو","A","N2","NO","5","74","7422","400"
