"insCode","instrumentID","cValMne","lVal18","cSocCSAC","lVal18AFC","lVal30","cIsin","dEven","flow","lSoc30","CGdSVal","cgrValCot","yMarNSC","cComVal","cSecVal","cSoSecVal","yVal"
"16236181211342354","IRB3SI2799B1","I27Q1","SOV.IJR2-KRD210206","SI27","اجاد27","اجاره دولت آپرورش-کاردان991118","IRB3SI2799B5","20221212","2","اجاره دولت آپرورش-کاردان991118","A","17","NO","4","69","6942","306"
"16241626483941113","IRB1QM050001","QM5Q1","Quotes 05","QM05","مظنه5","مظنه پذیره5- اوراق منفعت دولت","IRB1QM050000","20220525","2","مظنه پذیره نویسی اوراق دولتی5","A","18","NO","4","69","6946","402"
"16248560650746385","IRI3I0140001","I0141","Enriched Yogurt","I014","ماست غنی شده","ماست غنی شده جهت کاهش کلسترول","IRI3I0140009","20180808","2","ماست غنی شده جهت کاهش کلسترول","A","Z1","NO","5","76","7611","903"
"16271659134521666","IRO3REYZ0001","REYZ1","IranTransfo Rey","REYZ","برانس","ایران ترانسفو ری","IRO3REYZ0004","20230917","2","ایران ترانسفو ری","A","1Z","NO","1","31","3110","303"
"16276299842018324","IRR1SRZJ0101","SRZX1","New Shahreza-R","SRZJ","نشهراح","ح . شهرضای  جدید","IRR1SRZJ0101","20081126","1","شهرضای  جدید","A","N4","NO","4","17","1711","400"
"16303324355390262","IRB4SF010061","SF1Q1","SOV.MNF1SPCL210906","SF01","افاد1","منفعت دولت-با شرایط خاص140006","IRB4SF010065","20221212","2","منفعت دولت-با شرایط خاص140006","A","17","NO","4","69","6946","706"
"16307993585897047","IRT3V01F0001","V01F1","RooyeshLotusVCF","V01F","رویش","صندوق س.جسورانه رویش لوتوس","IRT3V01F0006","20161221","2","صندوق س.جسورانه رویش لوتوس","A","T1","NO","4","68","6815","305"
"16313264845918995","IRB3SI4299C1","I42Q1","SOV.IJR4-GrB210314","SI42","اجاد42","اجاره دولتی وزارت علوم-ب991224","IRB3SI4299C2","20170315","2","اجاره دولتی وزارت علوم-ب991224","A","Z1","NO","4","69","6942","306"
"16315910303613772","IRO7IKDP0001","IKDP1","S*IranKhodroDiesel","IKDP","خاور","ایران خودرو دیزل","IRO7IKDP0000","20230408","4","ایران خودرو دیزل","A","P1","NO","7","34","3410","309"
"16330743198286823","IRO1BENB0001","BENB1","Activists Energy B","BENB","انرژی2","فعالان بورس انرژی","IRO1BENB0005","20230408","1","فعالان بورس انرژی","A","N1","NO","3","67","6712","300"
"16368754219878684","IRB4SG310281","G31Q1","SOV.GMR31.SP231104","SG31","اراد31","مرابحه عام دولت3-ش.خ 0208","IRB4SG310282","20230607","2","مرابحه عام دولت3-شرایط خاص0208","A","17","NO","4","69","6945","706"
"16369313804633525","IRO1HJPT0001","HJPT1","Petr. Tran.","HJPT","حپترو","حمل و نقل پتروشیمی( سهامی عام","IRO1HJPT0002","20230918","1","حمل و نقل پتروشیمی( سهامی عام","A","N1","NO","3","60","6023","300"
"16370154440238855","IRO1OS150001","OS151","Sistan Inv.","OS15","وسیستا","شرکت س استان سیستان وبلوچستان","IRO1OS150007","20230917","1","شرکت س استان سیستان وبلوچستان","A","N2","NO","5","56","5699","300"
"16374922288786629","IRB3TF0704A1","TF7Q1","TFardaIJRLOT260105","TF07","تابان07","اجاره تابان لوتوس14041015","IRB3TF0704A3","20230607","2","اجاره تابان فردا لوتوس041015","A","17","NO","4","69","6910","306"
"16385144332417446","IRXWXOCI0006","WOC06","Fara. Price Index","IDXS","شاخص قیمت فرابورس6","شاخص قیمت فرابورس","IRXWXOCI0001","20210825","2","شرکت شاخص","I","00","ID","6","X1","X1  ","70"
"16405556680571453","IRO1KCHI0001","KCHI1","Iran China Clay","KCHI","کخاک","صنایع خاک چینی ایران","IRO1KCHI0007","20230917","1","صنایع خاک چینی ایران","A","N2","NO","5","54","5499","300"
"16406868012951979","IRO6MSKZ9921","MZ171","Mortgage Right9902","MSKZ","تسه9902","امتیاز تسهیلات مسکن اردیبهشت99","IRO6MSKZ9924","20230717","2","بانک مسکن","A","M1","NO","4","59","5910","307"
"16410724132711490","IRO3GFRZ0001","GFRZ1","Pegah Fars Co.","GFRZ","غفارس","شیر پاستوریزه پگاه فارس","IRO3GFRZ0005","20230917","2","شیر پاستوریزه پگاه فارس","A","Z1","NO","3","42","4220","303"
"16422980660132735","IRO3LPCZ0001","LPCZ1","Latif Paper","LPCZ","لطیف","محصولات کاغذی لطیف","IRO3LPCZ0003","20230917","2","محصولات کاغذی لطیف","A","1Z","NO","1","21","2109","303"
"16471519272060905","IRR1KALZ0101","KALX1","Alborz Cable-R","KALZ","بالبرح","ح . کابل  البرز","IRR1KALZ0104","20171213","1","کابل  البرز","A","N2","NO","5","31","3130","400"
"16553062355259729","IRO7MILP0001","MILP1","Ahan&Folad Co.","MILP","بمیلا","توسعه سرمایه گذاری میلاد پارس","IRO7MILP0008","20230917","4","توسعه سرمایه گذاری میلاد پارس","A","P1","NO","7","46","4610","309"
"16566273757667380","IRR1SDST0101","SDSX1","Dashtestan Ce.-R","SDST","سدشتح","ح .صنایع سیمان دشتستان","IRR1SDST0104","20171213","1","صنایع سیمان دشتستان","A","N2","NO","5","53","5394","400"
"16567465928886309","IRO3PSRZ0001","PSRZ1","Pakhsh Razi","PSRZ","درازی","پخش رازی","IRO3PSRZ0009","20230917","2","پخش رازی","A","1Z","NO","1","43","4399","303"
"16578517055478811","IRT3TIMF0001","TIMF1","Tiam ETF","TIMF","تیام","صندوق س.سهامی تیام-س","IRT3TIMF0005","20230917","2","صندوق س.سهامی تیام","A","T1","NO","4","68","6811","305"
"16582728244731287","IRB3MAEZ9671","MAEQ1","Mapna 2 20%","MAEZ","صمپنا2","اجاره مپنا (2) سه ماهه 20 درصد","IRB3MAEZ9674","20170304","2","اجاره مپنا (2) سه ماهه 20 درصد","A","Z1","NO","4","69","6910","306"
"16600572108732428","IRO1GOLP0001","GOLP1","GolPakhsh-e-AvalCo","GOLP","پخش اول","گلپخش اول","IRO1GOLP0004","20230917","1","گلپخش اول","A","N2","NO","5","47","4721","300"
"16630588761222078","IRR1DDPK0101","DDPX1","Daroupakhsh-R","DDPK","دشیمیح","ح . شیمی  داروئی  داروپخش","IRR1DDPK0103","20230918","1","شیمی  داروئی  داروپخش","A","N1","NO","3","43","4323","400"
"16663779781503749","IRO1BMAS0001","BMAS1","Mashad Packing","BMAS","فبستم","صنایع بسته بندی  مشهد","IRO1BMAS0001","20110410","1","صنایع بسته بندی  مشهد","A","N2","NO","5","28","2899","300"
"16673205196919832","IRO7FAPP0001","FAPP1","Farabi Petro.","FAPP","شفارا","پتروشیمی فارابی","IRO7FAPP0001","20230917","4","پتروشیمی فارابی","A","P1","NO","7","44","4411","309"
"16693610252404739","IRO3SLVZ0001","SLVZ1","Alvand Housing Inv","SLVZ","ثالوند","سرمایه گذاری مسکن الوند","IRO3SLVZ0007","20230917","2","سرمایه گذاری مسکن الوند","A","1Z","NO","1","70","7010","303"
"16725382720692568","IRO3MSZ96031","MK811","Mortgage Right9603","MSKZ","تسه9603","امتیاز تسهیلات مسکن خرداد 96","IRO3MSZ96038","20180721","2","بانک مسکن","A","Z1","NO","4","59","5910","303"
"16762873668858938","IRO1SGHZ0001","SGHZ1","Shahid Ghazy P.","SGHZ","دقاضی","شرکت سرم سازی شهیدقاضی تبریز","IRO1SGHZ0004","20081126","1","شرکت سرم سازی شهیدقاضی تبریز","A","N4","NO","4","43","4323","300"
"16766811482283088","IRO1LIFT0001","LIFT1","Sahand F. Lift","LIFT","تلیفت","لیفت  تراک  سازی  سهند","IRO1LIFT0009","20081126","1","لیفت  تراک  سازی  سهند","A","N4","NO","4","29","2915","300"
"16777570760181431","IRO7PKZP0001","PKZP1","Kazeroon Petro.","PKZP","کازرو","پتروشیمی کازرون","IRO7PKZP0005","20230917","4","پتروشیمی کازرون","A","P1","NO","7","44","4411","309"
"16843404477481740","IRO1OS080001","OS081","ChharMahalBakh Inv","OS08","وسمحال","شرکت س.استان چهارمحال وبختیاری","IRO1OS080006","20230917","1","شرکت س.استان چهارمحال وبختیاری","A","N2","NO","5","56","5699","300"
"16925150043473874","IRB3TB079651","TB071","IslamicTreasury","TB07","اخزا7","اسناد خزانه اسلامی960502","IRB3TB079650","20170304","2","اسناد خزانه اسلامی960502","A","I1","NO","4","69","6940","306"
"16959429956899455","IRO1AMLH0001","AMLH1","Iran Amlah","AMLH","شاملا","معدنی  املاح   ایران","IRO1AMLH0002","20230917","1","معدنی  املاح   ایران","A","N2","NO","5","44","4411","300"
"16984771612846489","IRO6MSKZ0041","MZ311","Mortgage Right0004","MSKZ","تسه0004","امتیازتسهیلات مسکن تیر1400","IRO6MSKZ0048","20230717","2","بانک مسکن","A","M1","NO","4","59","5910","307"
"17001700431164407","IRO7BKHP0001","BKHP1","Bank of M.E.","BKHP","وخاور","بانک خاورمیانه","IRO7BKHP0003","20130701","2","بانک خاورمیانه","A","P1","NO","7","65","6519","309"
"17043857246932770","IRB3TB269881","TB261","TreasuryBill191111","TB26","اخزا615","اسنادخزانه-م15بودجه96-980820","IRB3TB269889","20180721","2","اسنادخزانه-م15بودجه96-980820","A","I1","NO","4","69","6940","306"
"17046694194148349","IRO3Z0150001","Z0151","Arashk Inves CO","Z015","ارشک","سرمایه گذاری ارشک","IRO3Z0150004","20180721","2","سرمایه گذاری ارشک","A","Z1","NO","5","56","5699","303"
"17049072597627993","IRR1RREI0101","RREX1","Rey Textile-R","RREI","نریح","ح . ریسندگی  و بافندگی  ری","IRR1RREI0108","20081126","1","ریسندگی  و بافندگی  ری","A","N4","NO","4","17","1711","400"
"17059960254855208","IRO1BENN0001","BENN1","Behnoush Iran","BENN","غبهنوش","بهنوش  ایران","IRO1BENN0001","20230917","1","بهنوش  ایران","A","N2","NO","5","42","4253","300"
"17080537778426884","IRR1SBEH0101","SBEX1","Behshahr Ind.-R","SBEH","غبشهرح","ح . صنعتی  بهشهر","IRR1SBEH0106","20171213","1","صنعتی  بهشهر","A","N1","NO","1","42","4214","400"
"17081426540353962","IRB3TB209841","TB201","TreasuryBill190702","TB20","اخزا608","اسنادخزانه-م8بودجه96-980411","IRB3TB209844","20180721","2","اسنادخزانه-م8بودجه96-980411","A","I1","NO","4","69","6940","306"
"17093476882666751","IRB3TB149761","TB141","TreasuryBill180903","TB14","اخزا602","اسنادخزانه-م2بودجه96-970612","IRB3TB149768","20180721","2","اسنادخزانه-م2بودجه96-970612","A","I1","NO","4","69","6940","306"
"17153727206566342","IRR1SDID0101","SDIX1","Sadid Group-R","SDID","وسدیدح","ح . گروه صنعتی سدید(هلدینگ","IRR1SDID0104","20100609","1","گروه صنعتی سدید(هلدینگ","A","N2","NO","5","27","2799","400"
"17156087488463779","IRO1YSLO0001","YSLO1","Lorestan Refr.","YSLO","لرست","صنایع یخچال  سازی  لرستان","IRO1YSLO0009","20081126","1","صنایع یخچال  سازی  لرستان","A","N4","NO","4","29","2930","300"
"17166179154270422","IRB3TB810231","TB811","TreasuryBill230611","TB81","اخزا906","اسنادخزانه-م6بودجه99-020321","IRB3TB810237","20220906","2","اسنادخزانه اسلامی-م6بودجه1399","A","I1","NO","4","69","6940","306"
"17172110902132641","IRXZXMIN0006","XMIN6","IFB Mining&Quarry","IDXS","استخراج معدن فرا6","شاخص استخراج معدن فرابورس","IRXZXMIN0007","20180721","2","شرکت شاخص","I","00","ID","6","X1","X1  ","69"
"17184779097179305","IRR1SDRA0101","SDRX1","SADRA-R","SDRA","خصدراح","حذف-ح . صنعتی  دریایی  ایران","IRR1SDRA0106","20121111","1","حذف-صنعتی  دریایی  ایران","A","N2","NO","5","45","4520","400"
"17185906359043494","IRB3TB800221","TB801","TreasuryBill230508","TB80","اخزا905","اسنادخزانه-م5بودجه99-020218","IRB3TB800220","20220906","2","اسنادخزانه اسلامی-م5بودجه1399","A","I1","NO","4","69","6940","306"
"17197203950543191","IRR1GESF0101","GESX1","Isfahan Sugar-R","GESF","قصفهاح","ح . قنداصفهان","IRR1GESF0103","20171213","1","قنداصفهان","A","N2","NO","5","38","3842","400"
"17200458201581900","IRR7TJMP0101","TJMX1","Takhte Jamshid-R","TJMP","شجمح","ح. صنایع پتروشیمی تخت جمشید","IRR7TJMP0101","20210511","4","صنایع پتروشیمی تخت جمشید","A","P1","NO","7","44","4411","404"
"17217689629682758","IRO3MSZ95041","MK701","BANK MASKAN","MSKZ","تسه9504","امتیاز تسهیلات مسکن تیر ماه 95","IRO3MSZ95048","20180721","2","بانک مسکن","A","Z1","NO","4","59","5910","303"
"17226661368470120","IRT1SEPR0001","SEPR1","Separ Sarmayeh ETF","SEPR","سپر","صندوق س سپر سرمایه بیدار- ثابت","IRT1SEPR0005","20230227","1","صندوق س سپر سرمایه بیدار- ثابت","A","H1","NO","4","68","6812","305"
"17232252152159494","IRO7AVPP0001","AVPP1","Ava Pars Reins","AVPP","آواپارس","بیمه اتکایی آوای پارس70% تادیه","IRO7AVPP0001","20230917","4","بیمه اتکایی آوای پارس70% تادیه","A","P1","NO","7","66","6603","309"
"17237314339763699","IRR1GOST0101","GOSX1","Iran Kh. Inv.-R","GOST","خگسترح","ح . سرمایه گذاری ایران خودرو","IRR1GOST0105","20200614","1","گسترش سرمایه گذاری ایران خودرو","A","N1","NO","1","34","3430","400"
"17249155357009439","IRB3TB159771","TB151","TreasuryBill181002","TB15","اخزا603","اسنادخزانه-م3بودجه96-970710","IRB3TB159775","20180721","2","اسنادخزانه-م3بودجه96-970710","A","I1","NO","4","69","6940","306"
"17254092857500587","IRR3SMBZ0101","SMBX1","Sina Marine srv-R","SMBZ","حسیناح","ح. خدمات دریایی وبندری سینا","IRR3SMBZ0102","20220418","2","توسعه خدمات دریایی وبندری سینا","A","1Z","NO","1","60","6003","403"
"17269972595370241","IRO7ATSP0001","ATSP1","Arian Toska","ATSP","وآتوس","توسعه س. کشاورزی آرین توسکا","IRO7ATSP0002","20230917","4","توسعه س. کشاورزی آرین توسکا","A","P1","NO","7","56","5699","309"
"17278201956590234","IRR1SNIR0101","SNIX1","Iran Loom Ind-R","SNIR","تصناح","ح . صنایع  نساجی  ایران","IRR1SNIR0106","20081126","1","صنایع  نساجی  ایران","A","N4","NO","4","29","2926","400"
"17284166795866794","IRO7VHYP0001","VHYP1","Ehya Sepahan Co","VHYP","واحیا","م .صنایع و معادن احیاء سپاهان","IRO7VHYP0003","20230917","4","م .صنایع و معادن احیاء سپاهان","A","P1","NO","7","56","5699","309"
"17294951120469927","IRXZXELC0006","XELC6","IFB ElectericIndex","IDXS","دستگاه های برقی6","شاخص دستگاه های برقی","IRXZXELC0005","20230315","2","شرکت شاخص","I","00","ID","6","X1","X1  ","69"
"17299508146321256","IRO3ZF400001","ZF401","Kavian Petro.","ZF40","پتروکاویان","پتروشیمی کاویان","IRO3ZF400006","20180721","2","پتروشیمی کاویان","A","Z1","NO","5","44","4411","303"
"17318451171925318","IRR3HAIZ0101","HAIX1","Hamoon Saba Inv.-R","HAIZ","وهامونح","ح . سرمایه گذاری هامون صبا","IRR3HAIZ0102","20221012","2","سرمایه گذاری هامون صبا","A","16","NO","1","56","5699","403"
"17330546482145553","IRO1MHKM0001","MHKM1","Mehrcam Pars","MHKM","خمهر","مهرکام پارس","IRO1MHKM0009","20230917","1","مهرکام پارس","A","N2","NO","5","34","3430","300"
"17387050605077928","IRO1ALYF0001","ALYF1","Aliaf","ALYF","شلیاف","الیاف","IRO1ALYF0000","20081126","1","الیاف","A","N4","NO","4","44","4430","300"
"17393119378053108","IRO1IRPO0001","IRPO1","Iran Pouya","IRPO","لپویا","ایران  پویا","IRO1IRPO0006","20090716","1","ایران  پویا","A","N2","NO","5","29","2930","300"
"17402090607466366","IRB3TR120471","TR121","TreasuryBill251006","TR12","اخزا107","اسنادخزانه-م7بودجه01-040714","IRB3TR120472","20230430","2","اسنادخزانه اسلامی-م7بودجه1401","A","I1","NO","4","69","6940","306"
"17489918101053443","IRB3TB830261","TB831","TreasuryBill230828","TB83","اخزا908","اسنادخزانه-م8بودجه99-020606","IRB3TB830268","20220906","2","اسنادخزانه اسلامی-م8بودجه1399","A","I1","NO","4","69","6940","306"
"17520598803252970","IROCTB110011","0T011","TB11-929394C170621","TB11","اخزا11خ1","اختیارخ اخزا11-929394-960331","IROCTB110016","20170419","2","اسناد خزانه اسلامی960724","A","41","NO","8","69","6940","322"
"17528249960294496","IRO1TMEL0001","TMEL1","Tosee Melli Inv","TMEL","وتوسم","سرمایه گذاری توسعه ملی","IRO1TMEL0004","20230917","1","سرمایه گذاری توسعه ملی","A","N1","NO","3","56","5699","300"
"17590239042703095","IRO1MEHR0001","MEHR1","Mehrabad Ind.","MEHR","بمهراب","صنعتی  مهرآباد","IRO1MEHR0002","20081126","1","صنعتی  مهرآباد","A","N4","NO","4","31","3120","300"
"17605403389426895","IRO3Z0020001","Z0021","sugar cane argo","Z002","نیشکر هفت تپه","کشت و صنعت نیشکر هفت تپه","IRO3Z0020009","20220108","2","کشت و صنعت نیشکر هفت تپه","A","Z1","NO","5","38","3842","303"
"17617474823279712","IRO3ASPZ0001","ASPZ1","A.S.P CO","ASPZ","آ س پ","آ.س.پ","IRO3ASPZ0008","20230917","2","آ.س.پ","A","1Z","NO","1","70","7021","303"
"17645323253056599","IRO3ZF360001","ZF361","Tourbin Jonoob","ZF36","توربین جنوب","تجهیزات صنعتی توربین جنوب","IRO3ZF360002","20180721","2","تجهیزات صنعتی توربین جنوب","A","Z1","NO","5","74","7490","303"
"17649149765849787","IRO6MSKZ4001","MZ391","Mortgage Right1400","MSKZ","تسه1400","امتیازتسهیلات مسکن سال1400","IRO6MSKZ4008","20230717","2","بانک مسکن","A","M1","NO","4","59","5910","307"
"17661113951261114","IRO6MELZ97B1","TM131","Melli Mortgage1902","MELZ","تملی711","تسهیلات مسکن ب. ملی-بهمن97","IRO6MELZ97B8","20230702","2","تسهیلات مسکن بانک ملی ایران","A","M1","NO","4","59","5910","307"
"17758788623651072","IRT3VC020001","VC021","Arman Ati 1 VCF-VR","VC02","آتی1","ص.س.ج. یکم آرمان آتی","IRT3VC020008","20230515","2","ص.س.ج. یکم آرمان آتی","A","T1","NO","4","68","6815","305"
"17800036702302776","IRO1BSTE0001","BSTE1","Int. Const.","BSTE","ثاخت","بین المللی توسعه ساختمان","IRO1BSTE0000","20230917","1","بین المللی توسعه ساختمان","A","N2","NO","5","70","7010","300"
"17806219904343709","IRB3AR030761","AR031","Actover3MRB280902","AR03","اکتوور073","مرابحه اکتوور کو-کارون070612","IRB3AR030763","20230903","2","مرابحه اکتوور کو-کارون070612","A","17","NO","4","69","6911","306"
"17828928229984367","IRO3MSZ92041","MK341","BANK MASKAN","MSKZ","تسه9204","امتیاز تسهیلات مسکن تیرماه 92","IRO3MSZ92045","20180721","2","بانک مسکن","A","Z1","NO","4","59","5910","303"
"17833511227457172","IRO3Z0130001","Z0131","Damavand petr.","Z013","پتروشیمی دماوند","پتروشیمی دماوند","IRO3Z0130006","20180721","2","پتروشیمی دماوند","A","Z1","NO","5","40","4011","303"
"17834623106317041","IRO1MNSR0001","MNSR1","Nasir Machine","MNSR","خنصیر","مهندسی نصیرماشین","IRO1MNSR0008","20230917","1","مهندسی نصیرماشین","A","N1","NO","3","34","3430","300"
"17861226991775136","IRR7LARP0101","LARX1","Larestan-R","LARP","سلارح","ح.شرکت سیمان لارستان","IRR7LARP0103","20190128","4","شرکت سیمان لارستان","A","P1","NO","7","53","5394","404"
"17904282097680670","IRB3TB129791","TB121","TreasuryBill181204","TB12","اخزا611","اسناد خزانه-م11بودجه96-970913","IRB3TB129794","20180721","2","اسناد خزانه-م11بودجه96-970913","A","I1","NO","4","69","6940","306"
"17914401175772326","IRT1AHRM0001","AHRM1","CharismaAhromi ETF","AHRM","اهرم","صندوق س سهامی کاریزما- اهرمی","IRT1AHRM0005","20230328","1","صندوق س سهامی کاریزما- اهرمی","A","51","NO","4","68","6811","305"
"17933573078185644","IRO7BHEP0001","BHEP1","Behesht Pars Co","BHEP","آینده","بازرگانی آینده سازان بهشت پارس","IRO7BHEP0001","20230917","4","بازرگانی آینده سازان بهشت پارس","A","P1","NO","7","01","0111","309"
"17939384202383793","IRO3CGRZ0001","CGRZ1","Shomal Gharb Co","CGRZ","ثغرب","شرکت سرمایه گذاری مسکن شمالغرب","IRO3CGRZ0008","20230917","2","شرکت سرمایه گذاری مسکن شمالغرب","A","1Z","NO","1","70","7010","303"
"17941426325664429","IRB4SF040171","SF4Q1","SOV.MNF4SPL221021","SF04","افاد4","منفعت دولتی4-شرایط خاص14010729","IRB4SF040179","20221212","2","منفعت دولتی4-شرایط خاص14010729","A","17","NO","4","69","6946","706"
"17962922465424480","IRR3SASP0101","SASX1","Asia Cement-R","SASP","سجامح","ح. مجتمع سیمان غرب آسیا","IRR3SASP0109","20230717","2","مجتمع سیمان غرب آسیا","A","Z1","NO","3","53","5394","403"
"18004480270695404","IRO1ALMR0001","ALMR1","Alomrad","ALMR","فمراد","آلومراد","IRO1ALMR0000","20230917","1","آلومراد","A","N2","NO","5","27","2720","300"
"18007109712724189","IRT3AVAF0001","AVAF1","Ava ETF","AVAF","آوا","صندوق س.سهام آوای معیار-س","IRT3AVAF0003","20220906","2","صندوق س. سهام آوای معیار","A","T1","NO","4","68","6811","305"
"18027801615184692","IRO1CHML0001","CHML1","Chadormalu","CHML","کچاد","معدنی وصنعتی چادرملو","IRO1CHML0000","20230917","1","معدنی وصنعتی چادرملو","A","N1","NO","1","13","1310","300"
"18063426072758458","IRO1SBAH0001","SBAH1","Bahman Inv.","SBAH","وبهمن","سرمایه گذاری بهمن","IRO1SBAH0008","20230917","1","سرمایه گذاری بهمن","A","N1","NO","1","56","5699","300"
"18067743398074470","IRB3TB470041","TB471","TreasuryBill210628","TB47","اخزا716","اسنادخزانه-م16بودجه97-000407","IRB3TB470040","20210207","2","اسنادخزانه اسلامی-م16بودجه1397","A","I1","NO","4","69","6940","306"
"18079534829579164","IRR1DJBR0101","DJBX1","Jaber Hayan P.-R","DJBR","دجابرح","ح . داروسازی  جابرابن حیان","IRR1DJBR0106","20190907","1","داروسازی  جابرابن حیان","A","N1","NO","1","43","4323","400"
"18087422533472180","IRR1RRSM0101","RRSX1","Semnan Rope M.-R","RRSM","نریسماح","ح . ریسمانریسی سمنان","IRR1RRSM0106","20081126","1","ریسمانریسی سمنان","A","N4","NO","4","17","1711","400"
"18093681647131179","IRO3DTDZ0001","DTDZ1","Tolid Daroo","DTDZ","دتولید","داروسازی تولید دارو","IRO3DTDZ0008","20230917","2","داروسازی تولید دارو","A","1Z","NO","1","43","4323","303"
"18136496510495835","IRO7BK4P0001","BK4P1","Good Exch. Oth.","BK4P","کالا4","سایر اشخاص بورس کالای ایران","IRO7BK4P0008","20180721","2","سایر اشخاص بورس کالای ایران","A","L1","NO","7","67","6712","309"
"18154205800023055","IRR1TMVD0101","TMVX1","Daroupakhash I.-R","TMVD","دتمادح","ح . تولیدمواداولیه داروپخش","IRR1TMVD0105","20210524","1","تولیدمواداولیه داروپخش","A","N1","NO","3","43","4323","400"
"18189314283954605","IRO3ZMNZ0001","ZMNZ1","Iran Zamin Bank","ZMNZ","وزمین","بانک ایران زمین","IRO3ZMNZ0007","20171230","2","بانک ایران زمین","A","Z1","NO","3","57","5719","303"
"18303237082155264","IRO1FTIR0001","FTIR1","Iran Parenteral","FTIR","دفرا","فرآورده های  تزریقی  ایران","IRO1FTIR0003","20230917","1","فرآورده های  تزریقی  ایران","A","N2","NO","5","43","4323","300"
"18334800842514528","IRB3TJ010661","TJ011","TjartK MRB 270826","TJ01","تجارت کوشش06","مرابحه تجارت کوشش سپاهان060604","IRB3TJ010665","20230826","2","مرابحه تجارت کوشش سپاهان","A","17","NO","4","69","6911","306"
"18346219759153870","IRO7PESP0001","PESP1","Isfahan Pertr.","PESP","شصفها","پتروشیمی  اصفهان","IRO7PESP0002","20230917","4","پتروشیمی  اصفهان","A","C1","NO","7","44","4411","309"
"18356933039391862","IRO1GBJN0001","GBJN1","S.Q.B. Sugar","GBJN","قشیر","قندشیروان  ،قوچان  وبجنورد","IRO1GBJN0005","20090716","1","قندشیروان  ،قوچان  وبجنورد","A","N2","NO","5","38","3842","300"
"18364150881104689","IRB3TB3397A1","TB331","TreasuryBill190114","TB33","اخزا702","اسنادخزانه-م2بودجه97-971024","IRB3TB3397A2","20181007","2","اسنادخزانه اسلامی-م2بودجه1397","A","I1","NO","4","69","6940","306"
"18386853936374230","IRO3MSZ93081","MK501","BANK MASKAN","MSKZ","تسه9308","امتیازتسهیلات مسکن آبانماه93","IRO3MSZ93084","20141126","2","بانک مسکن","A","Z1","NO","4","59","5910","303"
"18401147983387689","IRO1MINO0001","MINO1","Pars Minoo","MINO","غپینو","پارس  مینو","IRO1MINO0003","20230917","1","پارس  مینو","A","N1","NO","1","42","4243","300"
"18401418213049852","IRO3Z0110001","Z0111","Shomale Gharb Ma.","Z011","مسکن شمالغرب","عمران و مسکن سازان شمالغرب","IRO3Z0110008","20180721","2","عمران و مسکن سازان شمالغرب","A","Z1","NO","5","70","7099","303"
"18568733593280948","IRO1TOOM0001","TOOM1","Omid Con. & Dev.","TOOM","ثامید","توسعه و عمران امید","IRO1TOOM0009","20230917","1","توسعه و عمران امید","A","N2","NO","5","70","7010","300"
"18568915061663137","IRB3SA0400B1","SA4Q1","ArvandKR.MNF220202","SA04","اروند04","منفعت صبا اروند کاردان14001113","IRB3SA0400B9","20221212","2","منفعت صبا اروند کاردان14001113","A","17","NO","4","69","6947","306"
"18570564912055539","IRO1RNJH0001","RNJH1","Jahan Veg. Oil","RNJH","غجهان","روغن نباتی جهان","IRO1RNJH0006","20081126","1","روغن نباتی جهان","A","N4","NO","4","42","4214","300"
"18585106079638501","IRO3Z0700001","Z0701","Saratel","Z070","ساراتل","ساختمانی و تاسیساتی ساراتل","IRO3Z0700006","20220108","2","ساختمانی و تاسیساتی ساراتل","A","Z1","NO","5","74","7421","303"
"18599703143458101","IRO1OMID0001","OMID1","Investment Banking","OMID","امید","تامین سرمایه امید","IRO1OMID0005","20230917","1","تامین سرمایه امید","A","N2","NO","5","67","6719","300"
"18606531596412776","IRB3KRJZ97B1","KRJQ1","Karaj Municipal 94","KRJZ","کرج97","شهرداری کرج 1394","IRB3KRJZ97B0","20221212","2","شهرداری کرج 1394","A","17","NO","4","69","6921","306"
"18609068995507506","IRB3TB139751","TB131","TreasuryBill180730","TB13","اخزا601","اسنادخزانه-م1بودجه96-970508","IRB3TB139751","20180721","2","اسنادخزانه-م1بودجه96-970508","A","I1","NO","4","69","6940","306"
"18621338450655320","IRO7NBAP0001","NBAP1","Bargh Abadan Co","NBAP","آبادا","تولید نیروی برق آبادان","IRO7NBAP0007","20120710","2","تولید نیروی برق آبادان","A","P1","NO","7","40","4010","309"
"18661507395759423","IRO1ALMN0001","ALMN1","Alomina Iran","ALMN","آلومینا","آلومینای ایران","IRO1ALMN0004","20230917","1","آلومینای ایران","A","N2","NO","5","27","2720","300"
"18668624820225527","IRO6MSKZ0071","MZ341","Mortgage Right0007","MSKZ","تسه0007","امتیازتسهیلات مسکن مهر1400","IRO6MSKZ0071","20230717","2","بانک مسکن","A","M1","NO","4","59","5910","307"
"18683861709119246","IRB3SR2199B1","R21Q1","SOV.MRB2-MLT210206","SR21","سلامت1","مرابحه دولتی تعاون-ملت991118","IRB3SR2199B9","20221212","2","مرابحه دولتی تعاون-ملت991118","A","17","NO","4","69","6945","306"
"18733719742989734","IRR1MDKO0101","MDKX1","Khavarmianeh Ins-R","MDKO","میدکوح","ح.توسعه م وص.معدنی خاورمیانه","IRR1MDKO0103","20230726","1","توسعه معادن وص.معدنی خاورمیانه","A","N2","NO","5","27","2710","400"
