"insCode","cSecVal","lSecVal","cSoSecVal","lSoSecVal","cValMne","lVal18","cSocCSAC","lSoc30","yMarNSC","yVal","lVal30","lVal18AFC","cIsin","zTitad","baseVol","instrumentID","cgrValCot","cComVal","lastDate","sourceID","flowTitle","cgrValCotTitle"
"517453086671514","73","اطلاعات و ارتباطات","7310","خدمات ارزش افزوده","MOBX1","Mobin One Kish-R","MOBZ","مبين وان كيش","NO","403","ح . مبين وان كيش","اوانح","IRR3MOBZ0106","0.0","0","IRR3MOBZ0101","1Z","1","0","0","","بازار اول فرابورس"
"540418221098215","42","محصولات غذايي و آشاميدني به جز قند و شكر","4214","توليد روغن هاي حيواني و نباتي","MRGX1","Margarin-R","MRGN","مارگارين","NO","404","ح. مارگارين","غمارگح","IRR7MRGN0108","0.0","0","IRR7MRGN0101","C1","7","0","0","","بازار پایه نارنجی فرابورس"
"589599697502308","66","بيمه وصندوق بازنشستگي به جزتامين اجتماعي","6603","بيمه غيرزندگي","KARP1","Karafarin Insur.","KARP","بيمه كارآفرين","NO","300","بيمه كارآفرين","وآفري","IRO1KARP0008","0.0","0","IRO1KARP0001","N2","5","0","0","","بازار دوم بورس"
"590761101519570","34","خودرو و ساخت قطعات","3410","توليد وسايل نقليه موتوري","SIPX1","Saipa-R","SIPA","سايپا","NO","400","ح . سايپا","خساپاح","IRR1SIPA0103","0.0","0","IRR1SIPA0101","N2","5","0","0","","بازار دوم بورس"
"611986653700161","53","سيمان، آهك و گچ","5394","توليد سيمان، آهك و گچ","SBZZ1","Sabzevar Cement","SBZZ","سيمان لار سبزوار","NO","303","سيمان لار سبزوار","سبزوا","IRO3SBZZ0005","0.0","0","IRO3SBZZ0001","1Z","1","0","0","","بازار اول فرابورس"
"651564801186566","74","خدمات فني و مهندسي","7490","ساير فعاليتهاي حرفه اي علمي و فني","ZF541","Novin Energy","ZF54","پيمانكاري انرژي نوين","NO","303","پيمانكاري انرژي نوين","پيمانكاري نوين","IRO3ZF540009","0.0","0","IRO3ZF540001","Z1","5","0","0","","بازار سوم فرابورس"
"655060129740445","13","استخراج کانه هاي فلزي","1310","استخراج آهن","OPAL1","Opal Kani Pars","OPAL","فرآوري معدني اپال كاني پارس","NO","300","فرآوري معدني اپال كاني پارس","اپال","IRO1OPAL0000","0.0","0","IRO1OPAL0001","N2","5","0","0","","بازار دوم بورس"
"685553375979058","69","اوراق تامين مالي","6947","اوراق منفعت خصوصي","SA1Q1","ArvandOM.MNF220202","SA01","منفعت صبا اروند اميد14001113","NO","306","منفعت صبا اروند اميد14001113","اروند01","IRB3SA0100B5","0.0","0","IRB3SA0100B1","17","4","0","0","","-'"
"726401865204843","34","خودرو و ساخت قطعات","3410","توليد وسايل نقليه موتوري","KAVX1","Iran Khodro D.-R","KAVR","ايران‌ خودروديزل‌","NO","400","ح . ايران‌ خودروديزل‌","خاورح","IRR1KAVR0102","0.0","0","IRR1KAVR0101","N2","5","0","0","","بازار دوم بورس"
"751415341879364","31","ماشين آلات و دستگاه‌هاي برقي","3130","توليد سيم و كابل عايق","BAKH1","Bakhtar Cable","BAKH","كابل‌ باختر","NO","300","كابل‌ باختر","باختر","IRO1BAKH0006","0.0","0","IRO1BAKH0001","N2","5","0","0","","بازار دوم بورس"
"778253364357513","57","بانكها و موسسات اعتباري","5719","ساير  واسطه هاي پولي","BMLT1","S*Mellat Bank","BMLT","بانك ملت","NO","300","بانك ملت","وبملت","IRO1BMLT0007","0.0","0","IRO1BMLT0001","N1","1","0","0","","بازار اول (تابلوی اصلی) بورس"
"786234965064488","49","كاشي و سراميك","4993","توليد گل و سراميك ساختماني","NILO1","Nilou Tile","NILO","كاشي‌ نيلو","NO","300","كاشي‌ نيلو","كنيلو","IRO1NILO0004","0.0","0","IRO1NILO0001","N2","5","0","0","","بازار دوم بورس"
"793710053482057","32","ساخت دستگاه‌ها و وسايل ارتباطي","3230","گيرنده راديو، تلويزيون و تجهيزات وابسته","PYAP1","Payam Ind.","PYAP","گسترش صنايع پيام","NO","309","گسترش صنايع پيام","لپيام","IRO7PYAP0008","0.0","0","IRO7PYAP0001","P1","7","0","0","","بازار پایه زرد فرابورس"
"796556604064374","61","حمل و نقل آبي","6120","ساير فعاليت هاي پشتيباني و حمل و نقل","GSMZ1","Gheshm Marine","GSMZ","دريايي و مهندسي كشتيراني قشم","NO","303","دريايي و مهندسي كشتيراني قشم","حقشم","IRO3GSMZ0005","0.0","0","IRO3GSMZ0001","Z1","3","0","0","","بازار دوم فرابورس"
"823046680072171","17","منسوجات","1711","آماده سازي و ريسندگي نخ، پارچه بافي","PKRX1","Pakris Textural-R","PKRS","ريسندگي‌ وبافندگي‌ پاكريس‌","NO","400","ح . ريسندگي‌ وبافندگي‌ پاكريس‌","نپاكح","IRR1PKRS0100","0.0","0","IRR1PKRS0101","N4","4","0","0","","بازار چهارم بورس"
"831325835570803","70","انبوه سازي، املاك و مستغلات","7010","املاك و مستغلات با ملك خود يا ليزينگ شده","CNAP1","Namavaran Co.","CNAP","س ساختماني ب نام آوران مهندسي","NO","309","س ساختماني ب نام آوران مهندسي","ثنام","IRO7CNAP0006","0.0","0","IRO7CNAP0001","P1","7","0","0","","بازار پایه زرد فرابورس"
"881618880255065","69","اوراق تامين مالي","6910","صكوك اجاره","S24Q1","SSI-IJR2-NVN210316","SS24","اجاره شستا-بخش2-نوين13991226","NO","306","اجاره تامين اجتماعي-نوين991226","شستا994","IRB3SS2499C9","0.0","0","IRB3SS2499C1","17","4","0","0","","-'"
"912271202750887","17","منسوجات","1722","توليد و فروش فرش و قالي","FPRS1","Pars Carpet","FPRS","فرش‌ پارس‌","NO","300","فرش‌ پارس‌","نفرش","IRO1FPRS0005","0.0","0","IRO1FPRS0001","N4","4","0","0","","بازار چهارم بورس"
"917857106093847","60","حمل ونقل، انبارداري و ارتباطات","6010","حمل و نقل از طريق خطوط راه آهن","HPRZ1","Parsian Oil&Gas","HPRZ","توسعه حمل و نقل ريلي پارسيان","NO","303","توسعه حمل و نقل ريلي پارسيان","حپارسا","IRO3HPRZ0002","0.0","0","IRO3HPRZ0001","1Z","1","0","0","","بازار اول فرابورس"
"971068957336171","68","صندوق سرمايه گذاري قابل معامله","6810","صندوق سرمايه گذاري مختلط","GTYF1","GarantyGity ETF-QR","GTYF","صندوق تضمين اصل سرمايه دماوند","NO","305","صندوق تضمين ا.س. گيتي دماوند-م","گارانتي","IRT3GTYF0003","0.0","0","IRT3GTYF0001","T1","4","0","0","","بازار ابزارهاي نوين مالي فرابورس"
"1010647938388655","42","محصولات غذايي و آشاميدني به جز قند و شكر","4214","توليد روغن هاي حيواني و نباتي","BHPP1","Behpak Co.","BHPP","صنعتي بهپاك","NO","309","صنعتي بهپاك","بهپاك","IRO7BHPP0008","0.0","0","IRO7BHPP0001","C1","7","0","0","","بازار پایه نارنجی فرابورس"
"1050751214677134","44","محصولات شيميايي","4411","توليد مواد شيميايي پايه به جز كود","PSGS1","PetroSanat Gameron","PSGS","مجتمع پترو صنعت گامرون","NO","313","مجتمع پترو صنعت گامرون","شگامرن","IRO5PSGS0009","0.0","0","IRO5PSGS0001","V1","9","0","0","","شرکتهای کوچک و متوسط فرابورس"
